Header,Date,Description,Link
DFID Annual Report and Accounts 2014-15 Results, 16 July 2015 ,These pages provide an overview of progress against DFID’s Results Framework.  ,"=HYPERLINK(""https://www.gov.uk/government/publications/dfid-annual-report-and-accounts-2014-15-results"",""more details"")"
Knowledge and Utilization of Cervical Cancer Screening Services among Nigerian Students,  1 January 2009 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/knowledge-and-utilization-of-cervical-cancer-screening-services-among-nigerian-students"",""more details"")"
"Using ""Mother Trainers"" for Malaria Control: The Nigerian Experience",  1 January 2007 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/using-mother-trainers-for-malaria-control-the-nigerian-experience"",""more details"")"
Helpdesk Report: Evidence Base for Local Block Grants in Health,  1 January 2012 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/helpdesk-report-evidence-base-for-local-block-grants-in-health"",""more details"")"
Risks and Benefits of Multiple Sexual Partnerships: Beliefs of Rural Nigerian Adolescent Males.,  1 January 2007 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/risks-and-benefits-of-multiple-sexual-partnerships-beliefs-of-rural-nigerian-adolescent-males"",""more details"")"
Representations of Sexual Abstinence Among Rural Nigerian Adolescent Males.,  1 January 2007 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/representations-of-sexual-abstinence-among-rural-nigerian-adolescent-males"",""more details"")"
Baroness Anelay visits Nigeria, 11 February 2016 ,Foreign Office Minister Baroness Anelay visited Nigeria to hold discussions on the protection of civilians in the fight against Boko Haram,"=HYPERLINK(""https://www.gov.uk/government/news/baroness-anelay-visits-nigeria"",""more details"")"
Teacher Motivation in Sub-Saharan Africa and South Asia. Researching the Issues 71,  1 January 2007 ,,"=HYPERLINK(""https://www.gov.uk/dfid-research-outputs/teacher-motivation-in-sub-saharan-africa-and-south-asia-researching-the-issues-71"",""more details"")"
A time for change: ending female genital mutilation, 22 March 2013 ,"UK aid backs global wave of change to end damaging practice within a generation
","=HYPERLINK(""https://www.gov.uk/government/case-studies/a-time-for-change-ending-female-genital-mutilation"",""more details"")"
Adam Smith International signs £8 million agreement with MCC,  5 February 2015 ,UK government helped Adam Smith International win contracts in the aid-funded sector with Millennium Challenge Corporation (MCC) and USAid.,"=HYPERLINK(""https://www.gov.uk/government/case-studies/adam-smith-international-signs-8-million-agreement-with-mcc"",""more details"")"
